Product ID,Product Name,Description,Price ID,Retail Price
prod_Pk9LFBg7mjXyZg,Karatcraft Musimi Gold Diamond 18 K Ring,"Karatcraft Musimi Gold Diamond 18 K Ring
                         Price: Rs. 12,183
				
			Diamonds wrapped around as a ring, set in a smooth flow signifying your free flowing spirit. This Diamond ri",price_1Ouf2xJDw3WYrLo5PQC5ZHk6,212
prod_Pk9LZ08NS8qJtH,Navaksha Necktie Men's  Combo,"Navaksha Necktie Men's  Combo
                         Price: Rs. 756
				
			Navaksha is a fast growing Brand in Fashion Accessories like Neckties, Bow Ties, Cravats, Cufflinks, Suspenders etc and co",price_1Ouf2yJDw3WYrLo5kiSfNY2f,15
prod_Pk9LsvZskAD56a,Navaksha Necktie Men's  Combo,Navaksha Necktie Men's  Combo - Buy Navaksha Necktie Men's  Combo For Only Rs. 1550 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf2zJDw3WYrLo5mYDkuguv,15
prod_Pk9L20liRzdcTU,Posto Necktie Men's  Combo,Posto Necktie Men's  Combo - Buy Posto Necktie Men's  Combo For Only Rs. 3499 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf30JDw3WYrLo588OjzuQG,33
prod_Pk9LTaY0CeGuDg,G-Luck Silver Turquoise NA K Ring,G-Luck Silver Turquoise NA K Ring - Buy G-Luck Silver Turquoise NA K Ring only for Rs. 3200 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,price_1Ouf30JDw3WYrLo5Idg9xver,35
prod_Pk9LNYUvoMxHm6,G-Luck Silver Turquoise NA K Ring,G-Luck Silver Turquoise NA K Ring - Buy G-Luck Silver Turquoise NA K Ring only for Rs. 4250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,price_1Ouf31JDw3WYrLo52rd7Hbgy,45
prod_Pk9Ly5fnpAk86k,G-Luck Silver Turquoise NA K Ring,G-Luck Silver Turquoise NA K Ring - Buy G-Luck Silver Turquoise NA K Ring only for Rs. 3250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,price_1Ouf32JDw3WYrLo5he3081Yq,35
prod_Pk9LWzwjRLNvwF,FabAlley Casual Short Sleeve Solid Women's Top,FabAlley Casual Short Sleeve Solid Women's Top - Buy White FabAlley Casual Short Sleeve Solid Women's Top For Only Rs. 900 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes,price_1Ouf33JDw3WYrLo5Okw7gGxJ,10
prod_Pk9LKwq7fzInlo,Navaksha Necktie Men's  Combo,"Navaksha Necktie Men's  Combo
                         Price: Rs. 756
				
			Navaksha is a fast growing Brand in Fashion Accessories like Neckties, Bow Ties, Cravats, Cufflinks, Suspenders etc and co",price_1Ouf34JDw3WYrLo5qAHRllIn,15
prod_Pk9LnxVRc0Jvgy,FabAlley Casual Sleeveless Solid Women's Top,FabAlley Casual Sleeveless Solid Women's Top - Buy white FabAlley Casual Sleeveless Solid Women's Top For Only Rs. 650 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Onl,price_1Ouf35JDw3WYrLo56y35NhrK,7
prod_Pk9LQErP5J1krZ,Navaksha Necktie Men's  Combo,Navaksha Necktie Men's  Combo - Buy Navaksha Necktie Men's  Combo For Only Rs. 1550 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf35JDw3WYrLo5qbds8tdC,15
prod_Pk9L2P52HrUhj6,Navaksha Necktie Men's  Combo,"Navaksha Necktie Men's  Combo
                         Price: Rs. 756
				
			Navaksha is a fast growing Brand in Fashion Accessories like Neckties, Bow Ties, Cravats, Cufflinks, Suspenders etc and co",price_1Ouf36JDw3WYrLo58qFDPTvo,15
